B,G,H,K,L,M,Q,S,T,V,Y
1.3,38.81,2.64,45.97,2.47,1.72,7.2,0.69,14.52,5.77,2.1
5.89,62.96,11.49,21.45,37.28,4.16,40.39,3.46,16.15,20.47,5.56
0.66,53.64,2.83,43.7,5.66,0,9.52,0,6.57,16.44,1.21
3.55,36.28,2.18,65.81,3.26,1.73,7.53,0.34,8.24,27.49,0.2
1.8,9.65,0.23,9.98,0.99,0.81,1.21,0,8.71,1.34,1.06
9.92,39.17,7.77,38.91,33.67,8.12,36.47,1.18,40.59,18.07,2.36
1.37,27.66,1.16,21.43,0.24,0.36,4.65,0,5.79,1.44,0
2.54,12.15,5.01,29.11,44.96,3.05,22.58,4.41,9.93,44.5,8.49
1.84,8.43,0.59,4.4,8.9,0,1.68,0.32,67.88,1.3,0.63
2.2,55.81,1.28,40.69,19.9,0,8.52,1,4.11,11.91,3.09
2.51,78.57,2.35,45.77,12.02,0.97,7.14,1.84,3.15,13.64,4.29
3.67,25.84,7.44,34.76,7.1,0.91,24.62,1.94,2.11,47.79,5.57
0.09,37.08,1.35,14.29,19.23,0.74,28.17,0.81,2.55,38.85,7.05
4.82,3.15,0.64,83.04,26.22,0.9,5.45,0.28,3.15,26.2,3.69
